Source Term ID	Source Term	Mapped Term Label	Mapped Term IRI	Mapped Term CURIE	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS
DOID:0080630	B-lymphoblastic leukemia/lymphoma	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	EFO:0000094	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:7061	obsolete precursor B lymphoblastic lymphoma/leukemia	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	EFO:0000094	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000094	B-cell acute lymphoblastic leukemia	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	EFO:0000094	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004947	B-cell acute lymphoblastic leukemia	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	EFO:0000094	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C8936	B Lymphoblastic Leukemia/Lymphoma	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	EFO:0000094	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1040	chronic lymphocytic leukemia	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	EFO:0000095	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000095	chronic lymphocytic leukemia	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	EFO:0000095	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004948	B-cell chronic lymphocytic leukemia	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	EFO:0000095	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3163	Chronic Lymphocytic Leukemia	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	EFO:0000095	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:706	mature B-cell neoplasm	neoplasm of mature B-cells	http://www.ebi.ac.uk/efo/EFO_0000096	EFO:0000096	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0000096	neoplasm of mature B-cells	neoplasm of mature B-cells	http://www.ebi.ac.uk/efo/EFO_0000096	EFO:0000096	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0004949	neoplasm of mature B-cells	neoplasm of mature B-cells	http://www.ebi.ac.uk/efo/EFO_0000096	EFO:0000096	TRUE	FALSE	FALSE	FALSE	FALSE
