# Timestamp: 2024-04-10 11:46:15.025951
# Target Ontology: http://www.ebi.ac.uk/efo/releases/v3.62.0/efo.owl
# text2term version: 4.1.2
# Minimum Score: 0.00
# Mapper: tfidf
# Base IRIs: ('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')
# Max Mappings: 1
# Term Type: OntologyTermType.CLASS
# Deprecated Terms Excluded
# Unmapped Terms Excluded
# Of 9998 entries, 8143 were mapped to 3824 unique terms
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags
DOID:0080630,B-lymphoblastic leukemia/lymphoma,B-cell acute lymphoblastic leukemia,EFO:0000094,http://www.ebi.ac.uk/efo/EFO_0000094,0.874,None
DOID:7061,obsolete precursor B lymphoblastic lymphoma/leukemia,acute lymphoblastic leukemia,EFO:0000220,http://www.ebi.ac.uk/efo/EFO_0000220,0.874,None
EFO:0000094,B-cell acute lymphoblastic leukemia,acute lymphoblastic leukemia,EFO:0000220,http://www.ebi.ac.uk/efo/EFO_0000220,0.936,None
NCIT:C8936,B Lymphoblastic Leukemia/Lymphoma,B-cell acute lymphoblastic leukemia,EFO:0000094,http://www.ebi.ac.uk/efo/EFO_0000094,0.874,None
DOID:1040,chronic lymphocytic leukemia,chronic lymphocytic leukemia,EFO:0000095,http://www.ebi.ac.uk/efo/EFO_0000095,0.997,None
MONDO:0004948,B-cell chronic lymphocytic leukemia,chronic lymphocytic leukemia,EFO:0000095,http://www.ebi.ac.uk/efo/EFO_0000095,0.995,None
NCIT:C3163,Chronic Lymphocytic Leukemia,chronic lymphocytic leukemia,EFO:0000095,http://www.ebi.ac.uk/efo/EFO_0000095,0.997,None
DOID:706,mature B-cell neoplasm,neoplasm of mature T-cells or NK-cells,EFO:0002426,http://www.ebi.ac.uk/efo/EFO_0002426,0.772,None
EFO:0000096,neoplasm of mature B-cells,neoplasm of mature B-cells,EFO:0000096,http://www.ebi.ac.uk/efo/EFO_0000096,0.815,None
NCIT:C27910,Mature B-Cell Neoplasm,neoplasm of mature T-cells or NK-cells,EFO:0002426,http://www.ebi.ac.uk/efo/EFO_0002426,0.772,None
NCIT:C3457,B-Cell Non-Hodgkin Lymphoma,Hodgkins lymphoma,EFO:0000183,http://www.ebi.ac.uk/efo/EFO_0000183,0.852,None
CL:0000236,B cell,chronic lymphocytic leukemia,EFO:0000095,http://www.ebi.ac.uk/efo/EFO_0000095,0.706,None
BTO:0000614,hypothalamus,hypothalamic neoplasm,EFO:1000979,http://www.ebi.ac.uk/efo/EFO_1000979,0.907,None
FMA:62008,Hypothalamus,hypothalamic neoplasm,EFO:1000979,http://www.ebi.ac.uk/efo/EFO_1000979,0.907,None
MA:0000173,hypothalamus,hypothalamic neoplasm,EFO:1000979,http://www.ebi.ac.uk/efo/EFO_1000979,0.907,None
BTO:0001362,olfactory lobe,Olfactory lobe agenesis,HP:0001341,http://purl.obolibrary.org/obo/HP_0001341,0.842,None
FMA:77624,Olfactory bulb,bulb,EFO:0001048,http://www.ebi.ac.uk/efo/EFO_0001048,0.625,None
