Source Term ID	Source Term	t2t.Mapping	t2t.MappingLabel	Benchmark.Mapping	Benchmark.MappingLabel	Classification	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess			Total	%	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess	
gydiudZPXk	Alzheimer s disease	MONDO:0004975	Alzheimer disease	EFO:0000249	Alzheimer's disease	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE		Same	658	73%	470	41	115	0	15	641
7xszpiWKQG	Endocarditis valve unspecified	EFO:0000465	endocarditis	EFO:0000465	endocarditis	Same	TRUE	FALSE	FALSE	FALSE	FALSE		More General	20	2%						0
FTwVa6sEcd	Family history of other conditions	EFO:0000493	family history	EFO:0000493	family history	Same	FALSE	FALSE	FALSE	FALSE	FALSE		More Specific	36	4%						0
ZRBv8pSgif	Unspecified maternal hypertension	EFO:0000537	hypertension	EFO:0000668	preeclampsia	More General	TRUE	FALSE	FALSE	FALSE	FALSE		Sibling	13	1%						0
LSuML35oA9	Stroke not specified as haemorrhage or infarction	EFO:0020921	hemorrhagic stroke	EFO:0000712	stroke	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE		Unrelated	172	19%	57	9				
c6TXyKfpeD	Subarachnoid haemorrhage	EFO:0000713	subarachnoid hemorrhage	EFO:0000713	subarachnoid hemorrhage	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
eNsG7WeTjw	Unspecified human immunodeficiency virus	EFO:0000764	HIV infection	EFO:0000764	HIV infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
gQudZ7dpjs	Other endocrine disorders	EFO:0001379	endocrine system disease	EFO:0001379	endocrine system disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
youNCqRhNg	Other diseases of liver	EFO:0001421	liver disease	EFO:0001421	liver disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
3j6et9xhRk	Primary disorders of muscles	EFO:0002970	muscular disease	EFO:0002970	muscular disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
yNBZ4nABdj	Pervasive developmental disorders	EFO:0003756	autism spectrum disorder	EFO:0003759	pervasive developmental disorder - not otherwise specified	More General	TRUE	FALSE	FALSE	FALSE	FALSE										
vRLVvDEtNk	Other cerebrovascular diseases	EFO:0003763	cerebrovascular disorder	EFO:0003763	cerebrovascular disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
LyLtsMjKT9	Other diseases of gallbladder	EFO:0003832	gallbladder disease	EFO:0003832	gallbladder disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
6TBvUqhL2L	Pain	EFO:0003843	pain	EFO:0003843	pain	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
yUHqUAtpSW	Fracture of spine level unspecified	EFO:0003902	spinal fracture	EFO:0003902	spinal fracture'	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
VBVVJD3SWN	Acute hepatitis B	HP:0200119	Acute hepatitis	EFO:0004197	hepatitis B infection	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
hjzB9MsjWY	Abnormalities of heart beat	HP:0001627	Abnormal heart morphology	EFO:0004269	cardiac arrythmia	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
WnG9JhTJrD	Scoliosis	EFO:0004273	scoliosis	EFO:0004273	scoliosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
cHGS3XxCA9	Other congenital malformations of heart	EFO:0005269	congenital heart malformation	EFO:0005269	congenital heart malformation	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
wQh2Qs7kjx	Disorders of tooth development and eruption	MONDO:0002145	disorder of sexual differentiation	EFO:0005410	tooth agenesis	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
GYikyfvzQR	Intracerebral haemorrhage	EFO:0005669	intracerebral hemorrhage	EFO:0005669	intracerebral hemorrhage	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
qRB8QL4T4n	Retinal detachments and breaks	EFO:0005773	retinal detachment	EFO:0005773	retinal detachment	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
MxnWctDJNb	Tuberculosis of nervous system	EFO:0007199	central nervous system tuberculosis	EFO:0007199	central nervous system tuberculosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
PGydDudQiX	Acute hepatitis A	HP:0200119	Acute hepatitis	EFO:0007305	hepatitis A	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
zvFVMmeqBV	Hookworm diseases	EFO:0007314	hookworm infectious disease	EFO:0007314	hookworm infectious disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
482ohbvcCA	Female infertility	EFO:0008560	female infertility	EFO:0008560	female infertility	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
T4CDmQBCdn	Sleep disorders	EFO:0008568	Sleep Disorder	EFO:0008568	sleep disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
HJbdCH48Gj	Thiamine deficiency	EFO:0008569	Thiamine deficiency	EFO:0008569	Thiamine deficiency	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
CKydXwEQVi	Viral conjunctivitis	EFO:0008571	viral conjunctivitis	EFO:0008571	viral conjunctivitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
cTL9YiRqTF	Alcoholic liver disease	EFO:0008573	alcoholic liver disease	EFO:0008573	alcoholic liver disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
D35MxA9iVS	Spinal osteochondrosis	EFO:0008576	Spinal Osteochondrosis	EFO:0008576	Spinal Osteochondrosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Y5yitadvwt	Diseases of salivary glands	EFO:0008581	salivary gland disease	EFO:0008581	salivary gland disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
p8YrWjRKT6	Gender identity disorders	EFO:0008587	gender identity disorder	EFO:0008587	gender identity disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
odoqnofcPT	Status asthmaticus	EFO:0008590	Status Asthmaticus	EFO:0008590	status asthmaticus	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
cumwHseRiv	Cystic kidney disease	EFO:0008615	Cystic Kidney Disease	EFO:0008615	cystic kidney disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
iHnHeSimrE	Polyp of female genital tract	EFO:0008622	female genital tract polyp	EFO:0008622	female genital tract polyp	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
FjsENfm58V	Persistent mood	EFO:0008623	dysthymic disorder	EFO:0008623	dysthymic disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Yz7De9vmu7	Disorders of vitreous body	EFO:0008624	vitreous body disease	EFO:0008624	vitreous body disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
a8h9C63829	Ovarian dysfunction	EFO:0009003	ovarian dysfunction	EFO:0009003	ovarian dysfunction	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
2rbS69NxGm	Other coagulation defects	EFO:0009314	blood coagulation disease	EFO:0009314	blood coagulation disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
wZAy4Kmr5e	Granulomatous disorders of skin and subcutaneous tissue	EFO:0000701	skin disease	EFO:1000705	granulomatous dermatitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE										
RjJJxvYtS6	Excessive vomiting in pregnancy	EFO:0002950	pregnancy	EFO:1000971	hyperemesis gravidarum	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
aMPzm53Dyk	Hyperfunction of pituitary gland	MONDO:0003429	functioning pituitary gland adenoma	EFO:1000973	hyperpituitarism	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
U4HFUuxuZa	Other nutritional deficiencies	EFO:1001067	nutritional deficiency disease	EFO:1001067	nutritional deficiency disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
HwrUgXs6m5	Other rheumatic heart diseases	EFO:1001161	rheumatic heart disease	EFO:1001161	rheumatic heart disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
2Kecmcs7KB	Other helminthiases	EFO:1001342	Helminthiasis	EFO:1001342	Helminthiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
K6hMas5xAE	Unspecified viral infection of CNS	EFO:0000763	viral disease	EFO:1001456	central nervous system infection	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
JgivKcEfGw	Diverticular disease of intestine	EFO:0009959	diverticular disease	EFO:1001460	diverticulitis	More General	TRUE	FALSE	FALSE	FALSE	FALSE										
MME9MCUdyA	Premature separation of placenta	EFO:1001754	Abruptio Placentae	EFO:1001754	Abruptio Placentae	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
fsNmt4zc2K	Retention of urine	HP:0000016	Urinary retention	HP:0000016	Urinary retention	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
iEfCTuH4Sg	Unspecified urinary incontinence	HP:0000020	Urinary incontinence	HP:0000020	Urinary incontinence	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
s4WqMGoLsb	Isolated proteinuria	HP:0000093	Proteinuria	HP:0000093	proteinuria	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
QhsEQZzDYW	Cleft palate	MONDO:0016064	cleft palate	HP:0000175	cleft palate	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
Lj4ykzpLBh	Hydrocephalus	HP:0000238	Hydrocephalus	HP:0000238	hydrocephalus	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
UP3z2KR2Ty	Visual disturbances	HP:0001288	Gait disturbance	HP:0000505	Visual impairment	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
RDWtYzpD7a	Unspecified dementia	MONDO:0001627	dementia	HP:0000726	dementia	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
pJSUqngb6P	Unspecified haematuria	HP:0000790	Hematuria	HP:0000790	hematuria	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
PvnmzU8FUV	Cholecystitis	HP:0001082	Cholecystitis	HP:0001082	Cholecystitis	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
uTGZBwy3wm	Dystonia	HP:0001332	Dystonia	HP:0001332	Dystonia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
G7agJX39GF	Ascites	HP:0001541	Ascites	HP:0001541	Ascites	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
bXojFejvYE	Iron deficiency anaemia	HP:0001891	Iron deficiency anemia	HP:0001891	Iron deficiency anemia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
ezybavupTo	Acute renal failure	HP:0001919	Acute kidney injury	HP:0001919	acute kidney injury	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
FrBnmas85g	Nonspecific lymphadenitis	HP:0002840	Lymphadenitis	HP:0002840	lymphadenitis	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
94kNGHaNPS	Cachexia	HP:0004326	Cachexia	HP:0004326	cachexia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
VGKPydV4US	Disseminated intravascular coagulation	HP:0005521	Disseminated intravascular coagulation	HP:0005521	Disseminated intravascular coagulation	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
ek9JJctb5i	Senile cataract	MONDO:0004847	senile cataract	HP:0011141	age-related cataract	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
DxrUnHZtS6	Agranulocytosis	HP:0012234	Agranulocytosis	HP:0012234	Agranulocytosis	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
AEN5ed4287	Helicobacter pylori	EFO:1000961	Helicobacter pylori infectious disease	NCBITaxon:210	Helicobacter pylori	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
GuXAYdi2zJ	Reduction defects of lower limb	ORPHANET.ORDO:404574	Genetic syndrome with limb reduction defects	ORDO:2130	Hemimelia	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
85aT7VMFSH	Congenital hydrocephalus	MONDO:0016349	congenital hydrocephalus	ORDO:2185	Congenital hydrocephalus	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
HB8dauNAao	Immunodeficiency with predominantly antibody defects	ORPHANET.ORDO:331244	Other immunodeficiency syndrome with predominantly antibody defects	ORDO:331244	Other immunodeficiency syndrome with predominantly antibody defects	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
BuupACMv9i	Congenital malformations of oesophagus	MONDO:0019755	developmental defect during embryogenesis	ORDO:88993	Esophageal malformation	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
E4a6bUDAQ4	Syndactyly	MONDO:0021002	syndactyly	ORDO:90025	Syndactyly	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
ZDxjbvfuxE	Other congenital malformations of intestine	MONDO:0019755	developmental defect during embryogenesis	ORDO:97945	Intestinal malformation	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
q9GrCoNZCv	Other disorders of peripheral nervous system	EFO:0009387	peripheral nervous system disease	EFO:0009387	peripheral nervous system disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
jM2D9E5zXT	Spondylosis	MONDO:0002253	spondylosis	EFO:0000706	spondyloarthropathy	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
LApDFRrdFc	Other retinal disorders	EFO:0003839	retinopathy	EFO:0003839	retinopathy	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
