# Timestamp: 2024-04-09 17:39:09.334154
# Target Ontology: http://www.ebi.ac.uk/efo/releases/v3.62.0/efo.owl
# text2term version: 4.1.2
# Minimum Score: 0.00
# Mapper: tfidf
# Base IRIs: ('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')
# Max Mappings: 1
# Term Type: OntologyTermType.CLASS
# Deprecated Terms Excluded
# Unmapped Terms Excluded
# Of 899 entries, 899 were mapped to 750 unique terms
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags
gydiudZPXk,Alzheimer s disease,Alzheimer disease,MONDO:0004975,http://purl.obolibrary.org/obo/MONDO_0004975,0.989,None
7xszpiWKQG,Endocarditis valve unspecified,endocarditis,EFO:0000465,http://www.ebi.ac.uk/efo/EFO_0000465,0.792,None
FTwVa6sEcd,Family history of other conditions,family history,EFO:0000493,http://www.ebi.ac.uk/efo/EFO_0000493,0.812,None
ZRBv8pSgif,Unspecified maternal hypertension,hypertension,EFO:0000537,http://www.ebi.ac.uk/efo/EFO_0000537,0.774,None
LSuML35oA9,Stroke not specified as haemorrhage or infarction,hemorrhagic stroke,EFO:0020921,http://www.ebi.ac.uk/efo/EFO_0020921,0.685,None
c6TXyKfpeD,Subarachnoid haemorrhage,subarachnoid hemorrhage,EFO:0000713,http://www.ebi.ac.uk/efo/EFO_0000713,0.993,None
eNsG7WeTjw,Unspecified human immunodeficiency virus,HIV infection,EFO:0000764,http://www.ebi.ac.uk/efo/EFO_0000764,0.996,None
gQudZ7dpjs,Other endocrine disorders,endocrine system disease,EFO:0001379,http://www.ebi.ac.uk/efo/EFO_0001379,0.983,None
youNCqRhNg,Other diseases of liver,liver disease,EFO:0001421,http://www.ebi.ac.uk/efo/EFO_0001421,0.954,None
3j6et9xhRk,Primary disorders of muscles,muscular disease,EFO:0002970,http://www.ebi.ac.uk/efo/EFO_0002970,0.655,None
yNBZ4nABdj,Pervasive developmental disorders,autism spectrum disorder,EFO:0003756,http://www.ebi.ac.uk/efo/EFO_0003756,0.983,None
vRLVvDEtNk,Other cerebrovascular diseases,cerebrovascular disorder,EFO:0003763,http://www.ebi.ac.uk/efo/EFO_0003763,0.954,None
