Source Term ID	Source Term	Mapped Term Label	Mapped Term IRI	Mapped Term CURIE	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS
143B_BONE	143B	143B	http://www.ebi.ac.uk/efo/EFO_0006355	EFO:0006355	FALSE	FALSE	FALSE	FALSE	FALSE
22RV1_PROSTATE	22Rv1	22Rv1	http://www.ebi.ac.uk/efo/EFO_0002095	EFO:0002095	FALSE	FALSE	FALSE	FALSE	FALSE
2313287_STOMACH	23132/87	23132/87	http://www.ebi.ac.uk/efo/EFO_0006528	EFO:0006528	FALSE	FALSE	FALSE	FALSE	FALSE
5637_URINARY_TRACT	5637	5637	http://www.ebi.ac.uk/efo/EFO_0002096	EFO:0002096	FALSE	FALSE	FALSE	FALSE	FALSE
59M_OVARY	59M	59M	http://www.ebi.ac.uk/efo/EFO_0006358	EFO:0006358	FALSE	FALSE	FALSE	FALSE	FALSE
639V_URINARY_TRACT	639-V	639V	http://www.ebi.ac.uk/efo/EFO_0002097	EFO:0002097	FALSE	FALSE	FALSE	FALSE	FALSE
647V_URINARY_TRACT	647-V	647V	http://www.ebi.ac.uk/efo/EFO_0002098	EFO:0002098	FALSE	FALSE	FALSE	FALSE	FALSE
769P_KIDNEY	769-P	769P	http://www.ebi.ac.uk/efo/EFO_0002099	EFO:0002099	FALSE	FALSE	FALSE	FALSE	FALSE
A101D_SKIN	A101D	A101D	http://www.ebi.ac.uk/efo/EFO_0002100	EFO:0002100	FALSE	FALSE	FALSE	FALSE	FALSE
A172_CENTRAL_NERVOUS_SYSTEM	A172	A172	http://www.ebi.ac.uk/efo/EFO_0002101	EFO:0002101	FALSE	FALSE	FALSE	FALSE	FALSE
A204_SOFT_TISSUE	A-204	A204	http://www.ebi.ac.uk/efo/EFO_0002102	EFO:0002102	FALSE	FALSE	FALSE	FALSE	FALSE
A2058_SKIN	A2058	A2058	http://www.ebi.ac.uk/efo/EFO_0006361	EFO:0006361	FALSE	FALSE	FALSE	FALSE	FALSE
A2780_OVARY	A2780	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	EFO:0006362	FALSE	FALSE	FALSE	FALSE	FALSE
A375_SKIN	A-375	A375	http://www.ebi.ac.uk/efo/EFO_0002103	EFO:0002103	FALSE	FALSE	FALSE	FALSE	FALSE
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW	A3/KAW	http://www.ebi.ac.uk/efo/EFO_0006532	EFO:0006532	FALSE	FALSE	FALSE	FALSE	FALSE
A498_KIDNEY	A-498	A498	http://www.ebi.ac.uk/efo/EFO_0002105	EFO:0002105	FALSE	FALSE	FALSE	FALSE	FALSE
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk	A4/Fuk	http://www.ebi.ac.uk/efo/EFO_0006533	EFO:0006533	FALSE	FALSE	FALSE	FALSE	FALSE
A549_LUNG	A549	A549	http://www.ebi.ac.uk/efo/EFO_0001086	EFO:0001086	FALSE	FALSE	FALSE	FALSE	FALSE
A673_BONE	A-673	A673	http://www.ebi.ac.uk/efo/EFO_0002106	EFO:0002106	FALSE	FALSE	FALSE	FALSE	FALSE
ABC1_LUNG	ABC-1	ABC-1	http://www.ebi.ac.uk/efo/EFO_0002813	EFO:0002813	FALSE	FALSE	FALSE	FALSE	FALSE
ACHN_KIDNEY	ACHN	ACHN	http://www.ebi.ac.uk/efo/EFO_0002108	EFO:0002108	FALSE	FALSE	FALSE	FALSE	FALSE
AGS_STOMACH	AGS	AGS	http://www.ebi.ac.uk/efo/EFO_0002109	EFO:0002109	FALSE	FALSE	FALSE	FALSE	FALSE
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1	AMO-1	http://www.ebi.ac.uk/efo/EFO_0006534	EFO:0006534	FALSE	FALSE	FALSE	FALSE	FALSE
ASPC1_PANCREAS	AsPC-1	AsPC1	http://www.ebi.ac.uk/efo/EFO_0002112	EFO:0002112	FALSE	FALSE	FALSE	FALSE	FALSE
AU565_BREAST	AU565	AU565	http://www.ebi.ac.uk/efo/EFO_0001087	EFO:0001087	FALSE	FALSE	FALSE	FALSE	FALSE
AZ521_SMALL_INTESTINE	AZ-521	AZ-521	http://www.ebi.ac.uk/efo/EFO_0002814	EFO:0002814	FALSE	FALSE	FALSE	FALSE	FALSE
BEN_LUNG	BEN	BEN	http://www.ebi.ac.uk/efo/EFO_0006537	EFO:0006537	FALSE	FALSE	FALSE	FALSE	FALSE
BFTC905_URINARY_TRACT	BFTC-905	BFTC905	http://www.ebi.ac.uk/efo/EFO_0002115	EFO:0002115	FALSE	FALSE	FALSE	FALSE	FALSE
BFTC909_KIDNEY	BFTC-909	BFTC-909	http://www.ebi.ac.uk/efo/EFO_0006538	EFO:0006538	FALSE	FALSE	FALSE	FALSE	FALSE
BHT101_THYROID	BHT-101	BHT101	http://www.ebi.ac.uk/efo/EFO_0002116	EFO:0002116	FALSE	FALSE	FALSE	FALSE	FALSE
BHY_UPPER_AERODIGESTIVE_TRACT	BHY	BHY	http://www.ebi.ac.uk/efo/EFO_0006539	EFO:0006539	FALSE	FALSE	FALSE	FALSE	FALSE
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR 22	BICR 22	http://www.ebi.ac.uk/efo/EFO_0006541	EFO:0006541	FALSE	FALSE	FALSE	FALSE	FALSE
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR 31	BICR 31	http://www.ebi.ac.uk/efo/EFO_0006542	EFO:0006542	FALSE	FALSE	FALSE	FALSE	FALSE
BT20_BREAST	BT-20	BT20	http://www.ebi.ac.uk/efo/EFO_0001092	EFO:0001092	FALSE	FALSE	FALSE	FALSE	FALSE
BT474_BREAST	BT-474	BT474	http://www.ebi.ac.uk/efo/EFO_0001093	EFO:0001093	FALSE	FALSE	FALSE	FALSE	FALSE
BT483_BREAST	BT-483	BT483	http://www.ebi.ac.uk/efo/EFO_0001095	EFO:0001095	FALSE	FALSE	FALSE	FALSE	FALSE
BT549_BREAST	BT-549	BT549	http://www.ebi.ac.uk/efo/EFO_0001096	EFO:0001096	FALSE	FALSE	FALSE	FALSE	FALSE
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV-173	BV173	http://www.ebi.ac.uk/efo/EFO_0002118	EFO:0002118	FALSE	FALSE	FALSE	FALSE	FALSE
